iter	RMSE
851	26357.80808
852	26345.39057
853	26332.82697
854	26312.12123
855	26298.57812
856	26278.35606
857	26263.69769
858	26248.45774
859	26229.63597
860	26218.15262
861	26198.82627
862	26186.88619
863	26161.91173
864	26148.30186
865	26135.38316
866	26117.33707
867	26095.81944
868	26077.93231
869	26057.36981
870	26042.84931
871	26021.32096
872	26006.21037
873	25993.75772
874	25978.68799
875	25965.52575
876	25956.41966
877	25955.4441
878	25940.03572
879	25925.4653
880	25912.00223
881	25900.25692
882	25887.85214
883	25875.40465
884	25874.14408
885	25862.63704
886	25849.97824
887	25840.74397
888	25832.96729
889	25823.39308
890	25806.69237
891	25793.32229
892	25782.6078
893	25778.0434
894	25764.31746
895	25749.0692
896	25733.15773
897	25722.83725
898	25710.42653
899	25697.0605
900	25685.82004
901	25669.81607
902	25657.55352
903	25649.18761
904	25640.79029
905	25629.41966
906	25618.1515
907	25604.91238
908	25587.77886
909	25574.58102
910	25566.7033
911	25559.06546
912	25544.33846
913	25532.11529
914	25511.65799
915	25510.70605
916	25494.81457
917	25481.76704
918	25468.54322
919	25456.13509
920	25446.86822
921	25431.78695
922	25424.18858
923	25416.76766
924	25406.44959
925	25405.55944
926	25383.47605
927	25370.2643
928	25353.04095
929	25335.13505
930	25325.06267
931	25312.19201
932	25298.18014
933	25282.69254
934	25270.26137
935	25252.68501
936	25241.00892
937	25227.75246
938	25216.67987
939	25203.0647
940	25192.15357
941	25177.61032
942	25166.28965
943	25157.8725
944	25141.61319
945	25128.40018
946	25113.4582
947	25104.35357
948	25089.28955
949	25069.42568
950	25054.15641
951	25048.82583
952	25036.45969
953	25018.96199
954	25005.50493
955	24995.26772
956	24985.27522
957	24972.27012
958	24954.76984
959	24948.29562
960	24934.91506
961	24926.50889
962	24912.30653
963	24897.89503
964	24889.59337
965	24880.19149
966	24872.60973
967	24856.37003
968	24842.70402
969	24831.73034
970	24822.6191
971	24811.16164
972	24796.79346
973	24786.39236
974	24775.35483
975	24766.32171
976	24757.74799
977	24745.89284
978	24732.74032
979	24721.17358
980	24708.06058
981	24686.87156
982	24677.486
983	24669.5915
984	24662.96224
985	24646.47551
986	24631.74613
987	24618.75187
988	24605.19578
989	24590.3557
990	24571.05739
991	24561.14875
992	24546.16139
993	24537.11369
994	24526.10526
995	24514.96781
996	24497.81656
997	24487.01457
998	24474.7434
999	24458.51459
